ClienteId;Sexo;DataNascimento
579;2;08/06/2002
580;2;09/07/1982
581;1;21/07/1990
582;1;16/11/1984
583;1;02/11/1993
584;1;30/09/1995
585;1;02/02/1986
586;1;16/05/1984
587;1;05/02/1990
588;1;13/10/1992
589;2;23/03/1981
590;2;30/03/1986
591;2;06/07/1987
592;2;30/03/1990
593;1;04/04/1997
594;2;25/06/1980
595;1;28/02/1996
596;2;10/05/1980
597;2;08/02/1988
598;2;30/07/1989
599;2;23/12/1991
600;2;12/03/1991
601;2;16/05/2000
602;1;04/04/1980
603;2;02/10/1992
604;1;03/03/1982
605;1;16/09/1988
606;2;07/06/1995
607;2;24/04/1990
608;2;23/07/1987
609;1;15/09/1990
610;1;03/09/1990
611;1;19/12/1983
612;2;12/05/1992
613;2;23/09/1997
614;2;26/08/1984
615;2;11/02/1992
616;2;22/11/1990
617;1;15/02/1995
618;1;19/03/1997
619;1;09/05/1987
620;2;07/06/1998
621;2;09/08/1981
622;2;31/07/1999
623;1;20/08/1994
624;1;06/01/1995
625;2;29/03/1982
626;2;23/10/1998
627;2;11/06/1996
628;2;27/08/1995
629;2;08/05/1984
630;2;13/09/1992
631;2;15/04/2000
632;2;27/01/1983
633;1;11/04/1993
634;2;16/05/1989
635;2;13/04/1984
636;2;05/08/1987
637;1;23/10/1981
638;2;21/04/1984
639;1;12/03/1992
640;1;22/04/1994
641;2;01/06/1985
642;2;15/06/1995
643;1;24/08/1984
644;1;16/10/1990
645;2;17/04/1994
646;1;11/01/1995
647;2;10/07/1987
648;2;06/06/1986
649;2;10/02/1992
650;1;20/11/1984
651;1;07/08/1985
652;2;24/12/1991
653;2;06/06/1980
654;2;11/05/1991
655;2;17/03/1988
656;2;27/02/1999
657;1;13/02/1983
658;2;27/03/1982
659;1;19/06/1980
660;1;01/12/1985
661;2;10/03/1980
662;1;11/02/1987
663;1;08/03/1993
664;2;17/06/1999
665;2;24/02/1982
666;1;02/06/1981
667;1;13/09/1986
668;1;14/05/1988
669;1;26/06/1988
670;1;18/09/1988
671;1;08/08/1989
672;1;27/10/1996
673;1;03/07/1982
674;2;09/04/1980
675;2;23/08/1984
676;1;01/04/1999
677;1;18/01/1986
678;2;01/02/1997
679;1;03/06/1985
680;1;05/01/1980
681;2;19/04/1993
682;2;18/05/1998
683;2;29/01/1989
684;2;18/08/1990
685;2;29/09/2000
686;1;29/06/1997
687;1;03/01/1996
688;1;21/09/1988
689;2;08/06/1991
690;2;05/01/1996
691;1;23/12/1987
692;2;02/08/1983
693;1;31/03/1983
694;1;15/11/1989
695;2;30/04/1988
696;1;18/07/1997
697;1;23/05/2001
698;1;05/01/1999
699;2;09/11/1982
700;1;04/01/1999
701;2;04/11/1989
702;2;28/07/1989
703;2;22/12/2000
704;1;27/05/1999
705;2;17/10/1991
706;1;05/05/1996
707;1;18/03/1989
708;2;28/08/1997
709;1;02/08/2000
710;1;29/12/1981
711;1;02/01/2002
712;2;03/08/1992
713;2;23/03/2000
714;1;18/03/2002
715;2;08/07/1999
716;2;18/04/2002
717;2;15/01/1985
718;1;10/05/1987
719;1;25/07/1994
720;2;08/07/1986
721;2;04/02/1981
722;2;23/06/2000
723;1;26/06/1992
724;1;05/04/1991
725;1;18/07/1982
726;2;31/07/1993
727;1;19/08/1981
728;1;08/02/1989
729;2;09/07/1981
730;1;29/11/1997
731;2;10/12/1996
732;1;13/09/1990
733;2;06/05/1999
734;1;16/09/1985
735;1;23/05/1998
736;2;22/04/1999
737;2;28/02/1991
738;1;27/11/2002
739;1;06/03/1998
740;2;22/12/1997
741;1;21/02/1984
742;1;18/03/1994
743;1;07/06/1987
744;2;01/11/1982
745;1;31/08/1997
746;1;11/02/1998
747;2;16/05/1990
748;2;24/05/2001
749;2;11/05/2002
750;1;05/10/1995
751;2;16/04/1986
752;1;12/09/2001
753;1;17/04/1994
754;1;28/12/1995
755;1;18/08/2000
756;1;17/09/1982
757;1;13/01/1982
758;1;20/08/1980
759;2;11/10/1995
760;1;14/05/1985
761;1;20/11/2000
762;2;04/10/1987
763;2;07/06/1995
764;2;18/06/2002
765;1;25/11/1992
766;2;25/01/1997
767;1;02/07/1982
768;2;17/03/1991
769;2;17/03/1990
770;1;02/10/1988
771;2;30/08/2001
772;1;20/06/1988
773;1;13/03/1997
774;1;27/03/1984
775;1;26/09/1998
776;1;05/01/1986
777;1;06/04/1987
778;2;09/02/1995
779;2;03/12/1981
780;2;19/09/1988
781;1;12/09/1982
782;1;22/08/1998
783;2;26/09/1993
784;1;09/05/1995
785;1;02/03/1991
786;1;02/09/1993
787;2;15/03/1981
788;2;17/09/1981
789;1;10/10/1995
790;1;09/02/1992
791;1;29/12/1981
792;1;31/07/1994
793;1;24/10/2001
794;2;06/09/1985
795;1;29/05/2002
796;1;10/01/1998
797;1;23/04/1991
798;2;07/09/1995
799;1;03/05/1996
800;1;25/07/1983
801;1;08/02/1995
802;1;12/01/2001
803;2;13/06/1985
804;2;19/12/1982
805;1;20/11/1986
806;1;27/06/1992
807;2;28/01/2001
808;1;18/11/1999
809;1;19/12/1984
810;1;02/08/1997
811;2;24/06/1997
812;2;28/05/1987
813;1;21/11/1989
814;1;15/03/1988
815;2;19/07/1981
816;2;08/03/1983
817;2;03/04/1986
818;1;04/01/1980
819;1;07/11/1988
820;2;07/08/2001
821;1;09/04/1982
822;2;04/08/1984
823;2;13/01/1992
824;2;25/09/1990
825;2;22/03/1988
826;1;11/12/1998
827;2;22/07/1982
828;2;03/10/1981
829;1;02/01/1991
830;1;12/10/2001
831;1;22/04/1988
832;1;18/09/1999
833;1;12/09/1985
834;2;13/05/1993
835;2;23/03/1987
836;2;25/02/1993
837;1;17/05/1991
838;1;28/08/1988
839;1;18/04/1992
840;2;02/02/1991
841;1;24/10/1988
842;2;28/06/1980
843;2;13/12/1986
844;1;11/09/2001
845;1;26/09/1989
846;1;23/08/1990
847;2;15/07/1982
848;1;06/04/1998
849;2;03/08/1993
850;1;24/08/1997
851;2;21/01/1992
852;2;08/12/2001
853;1;08/06/1984
854;1;29/07/1991
855;1;14/01/1980
856;1;30/10/1986
857;2;10/05/1993
858;2;12/09/1985
859;2;21/09/1997
860;2;13/10/2000
861;1;17/08/1982
862;1;29/04/1983
863;2;13/07/1991
864;2;08/11/1999
865;1;26/10/1991
866;1;05/01/1989
867;2;03/06/1986
868;1;20/03/1984
869;2;09/06/1990
870;1;13/12/1988
871;1;26/10/1981
872;2;22/09/1999
873;1;27/11/1994
874;2;26/07/1982
875;2;27/01/1995
876;1;27/05/1994
877;1;04/12/1993
878;2;20/03/1994
879;1;23/12/1984
880;1;23/06/1981
881;1;30/07/1997
882;1;05/11/1996
883;1;27/01/1986
884;2;12/05/1990
885;1;22/12/1987
886;2;23/12/1990
887;1;15/11/1983
888;1;24/05/1992
889;1;13/06/1998
890;2;19/06/1986
891;1;20/03/1998
892;1;22/10/1988
893;1;27/12/2001
894;2;05/11/1985
895;1;16/05/1991
896;2;04/01/1987
897;1;23/05/1996
898;1;10/01/1991
899;1;03/11/2000
900;1;03/05/1993
901;2;17/04/1996
902;2;13/04/1980
903;2;30/06/1998
904;2;28/05/1981
905;2;26/07/1984
906;1;15/06/1990
907;2;30/03/2002
908;2;26/12/1995
909;2;17/04/1990
910;2;15/05/1997
911;2;02/11/1989
912;1;20/09/1983
913;2;14/11/1985
914;1;05/10/1992
915;1;16/02/1987
916;1;29/08/1992
917;1;10/01/1999
918;2;29/06/2000
919;1;08/05/1992
920;2;24/08/1980
921;2;26/02/1996
922;2;11/11/1980
923;1;19/07/1984
924;2;22/10/1995
925;1;28/11/2000
926;2;03/10/1980
927;1;12/06/1983
928;2;19/12/1990
929;1;23/08/1983
930;2;27/12/1998
931;1;09/07/1989
932;2;21/06/1985
933;2;17/02/2000
934;1;30/06/1994
935;2;01/06/1995
936;1;05/12/2000
937;1;05/11/2002
938;1;26/11/1999
939;1;12/05/1997
940;2;14/05/1994
941;1;18/04/2001
942;2;16/04/1981
943;1;12/12/1999
944;2;31/01/1980
945;2;13/05/1983
946;1;26/12/1981
947;2;01/06/1995
948;1;29/01/2002
949;2;29/12/1994
950;2;26/06/1987
951;1;23/05/1991
952;2;16/11/1988
953;1;03/01/1987
954;1;29/12/1996
955;1;22/10/1983
956;2;10/07/1988
957;2;27/11/1998
958;2;12/12/2001
959;2;20/10/1994
960;2;31/10/1998
961;2;08/09/1983
962;1;16/08/1993
963;2;18/11/2000
964;1;23/11/1991
965;2;09/03/1990
966;2;23/02/1989
967;1;15/02/1980
968;1;16/06/1990
969;2;05/03/1985
970;1;18/07/1980
971;1;02/01/2000
972;1;01/09/1980
973;2;24/01/2002
974;1;27/12/2001
975;1;11/01/1998
976;2;17/03/1986
977;2;11/05/1989
978;1;29/04/1995
979;2;06/07/1989
980;1;14/12/2001
981;1;09/01/1992
982;2;16/03/1985
983;2;23/01/1982
984;1;12/03/1980
985;1;02/02/1996
986;1;22/03/1988
987;2;06/03/1996
988;1;23/03/1998
989;1;30/04/1992
990;2;07/12/1991
991;2;15/01/1989
992;2;08/01/1991
993;2;06/06/1985
994;1;30/07/1997
995;1;23/11/1982
996;1;21/12/1985
997;1;09/12/1991
998;1;13/02/1985
999;1;05/01/2000
1000;2;27/04/1984
1001;1;06/12/1982
1002;1;10/12/1982
1003;1;06/02/1999
1004;2;10/12/1982
1005;1;23/05/1985
1006;1;27/10/1987
1007;2;07/02/1981
1008;1;31/01/1980
1009;1;16/05/1988
1010;2;10/06/1993
1011;2;04/03/1982
1012;2;26/09/1981
1013;2;17/09/1998
1014;1;19/07/1994
1015;2;19/05/2002
1016;2;07/12/1989
1017;1;18/03/2000
1018;1;05/01/2002
1019;1;09/03/1998
1020;2;02/07/1989
1021;1;05/03/1980
1022;1;13/10/2001
1023;1;26/12/1996
1024;1;18/04/1995
1025;1;24/03/1999
1026;2;26/11/1999
1027;2;20/06/1982
1028;2;24/06/1983
1029;1;11/03/1984
1030;2;04/08/1999
1031;2;15/10/1993
1032;2;22/03/1998
1033;1;29/05/1990
1034;1;23/01/1986
1035;1;15/02/1993
1036;2;26/04/2000
1037;1;27/10/1989
1038;2;08/09/1993
1039;1;19/01/1997
1040;1;26/04/1994
1041;2;26/06/1996
1042;1;27/09/1983
1043;1;29/07/1996
1044;1;12/12/1980
1045;1;29/09/1996
1046;1;26/08/2000
1047;1;21/10/1980
1048;1;02/06/1992
1049;2;17/04/1988
1050;1;27/09/1997
1051;2;06/02/1992
1052;1;27/07/1982
1053;1;01/10/1982
1054;2;19/03/1992
1055;2;26/03/2002
1056;2;24/06/1999
1057;1;07/05/1999
1058;1;25/05/1994
1059;2;14/04/2002
1060;2;25/12/1996
1061;2;07/10/1990
1062;2;26/11/1983
1063;2;29/11/1999
1064;2;04/07/1995
1065;1;03/03/1999
1066;1;01/10/1996
1067;1;30/11/1994
1068;2;29/08/1999
1069;1;14/04/1999
1070;1;28/06/1981
1071;2;30/11/1994
1072;2;20/02/2000
1073;2;20/09/1984
1074;2;30/07/1984
1075;1;04/12/1999
1076;2;30/11/1995
1077;1;22/12/1996
1078;1;10/09/1998
1079;2;01/03/1997
1080;1;08/02/2002
1081;2;16/01/1989
1082;1;24/03/1995
1083;1;08/02/1989
1084;1;09/01/2002
1085;2;06/04/1997
1086;2;28/10/1995
1087;1;06/02/1999
1088;1;05/06/1992
1089;1;03/04/1990
1090;2;19/03/1987
1091;1;21/03/1991
1092;1;30/03/1981
1093;2;25/03/2001
1094;1;11/03/1983
1095;2;03/06/1993
1096;2;21/10/1996
1097;1;15/10/1995
1098;1;29/11/1988
1099;1;06/11/2001
1100;1;24/11/2001
1101;2;01/08/2000
1102;1;16/08/1980
1103;2;20/10/1985
1104;2;21/03/2000
1105;2;13/01/2000
1106;1;26/11/1990
1107;1;15/05/1988
1108;2;06/02/1981
1109;1;30/08/1981
1110;1;18/07/1986
1111;1;06/07/1989
1112;2;09/02/1989
1113;2;13/02/1999
1114;1;30/08/2000
1115;1;29/08/1988
1116;1;25/02/1994
1117;2;03/09/1989
1118;1;01/06/1998
1119;2;01/01/1986
1120;2;03/09/1993
1121;1;29/12/1997
1122;2;15/06/2002
1123;1;29/01/1981
1124;2;27/10/1995
1125;2;06/07/1993
1126;2;19/10/1987
1127;2;30/10/2001
1128;1;17/01/1997
1129;2;12/04/2001
1130;1;04/08/1994
1131;2;28/01/1981
1132;1;04/05/1990
1133;2;31/08/1980
1134;2;13/12/1989
1135;1;06/09/1990
1136;1;10/05/1998
1137;2;18/05/2000
1138;2;09/09/1999
1139;2;03/05/1998
1140;2;22/07/2001
1141;2;04/07/1989
1142;1;11/10/1989
1143;2;17/01/1993
1144;1;18/04/1988
1145;2;22/07/1999
1146;2;06/09/1982
1147;1;15/02/2002
1148;1;28/04/1999
1149;1;14/07/1984
1150;2;18/05/1984
1151;1;19/10/1987
1152;1;28/01/1996
1153;2;16/04/1988
1154;2;03/11/1985
1155;2;17/07/1996
1156;2;20/03/1981
1157;1;31/08/1993
1158;2;10/06/1982
1159;2;16/08/1987
1160;1;13/05/1987
1161;1;16/09/1985
1162;2;19/08/1987
1163;2;20/06/1988
1164;1;22/09/1990
1165;1;02/02/1997
1166;1;16/02/1984
1167;1;27/03/1988
1168;2;08/06/1999
1169;1;22/09/1998
1170;2;13/06/1992
1171;1;27/11/1999
1172;2;18/08/1993
1173;2;01/06/1995
1174;1;05/11/1981
1175;2;17/03/1989
1176;1;21/10/1999
1177;2;10/12/1987
1178;2;29/08/1999
1179;1;22/09/2000
1180;2;10/12/1991
1181;1;24/03/1988
1182;1;07/06/2002
1183;1;24/01/2002
1184;1;06/10/1992
1185;1;12/01/2001
1186;2;02/07/1992
1187;1;02/09/1985
1188;2;30/12/1989
1189;2;04/09/1980
1190;1;08/08/1981
1191;2;11/02/1997
1192;2;24/04/1995
1193;1;17/04/1987
1194;1;28/01/2001
1195;1;12/04/1991
1196;2;02/11/1980
1197;2;07/10/1983
1198;1;30/03/2000
1199;2;09/02/1994
1200;1;28/10/2001
1201;2;12/01/1995
1202;1;08/02/1983
1203;1;07/12/1993
1204;2;15/09/2001
1205;1;28/05/1988
1206;1;11/10/1981
1207;1;20/04/1993
1208;2;28/04/2002
1209;2;28/07/1982
1210;2;30/08/1988
1211;1;08/07/2000
1212;2;23/05/1986
1213;2;24/02/1982
1214;2;07/09/2002
1215;1;09/11/1982
1216;2;17/12/1989
1217;2;01/01/1994
1218;1;19/05/1983
1219;1;28/04/1988
1220;1;24/08/1998
1221;1;17/09/1988
1222;2;16/09/1989
1223;2;29/04/1991
1224;2;14/02/1994
1225;1;16/06/1994
1226;2;23/03/2000
1227;1;03/08/1980
1228;2;27/04/2002
1229;1;29/10/1994
1230;2;24/12/1986
1231;2;12/06/2001
1232;1;04/05/1985
1233;1;11/10/1983
1234;2;31/03/1997
1235;2;06/11/1988
1236;1;30/12/1984
1237;1;14/01/1987
1238;1;23/01/1986
1239;1;30/10/1996
1240;2;17/06/1988
1241;1;31/10/1994
1242;2;09/07/2000
1243;2;09/06/1981
1244;2;03/09/1990
1245;2;05/05/2002
1246;1;06/11/1991
